cod. ibge;pib;cod_str;Estado;Regiao;Municipio;Familias;Pessoas;% relativo ao Censo 2022;IVCAD;NC;DPI;DCA;TQA;DR;CH;idhm;expectativa_vida;chave;Subsecao_Judiciaria TRF;Atuacao_DPU;DPU_P_Bool;DPU_R_Bool;DPU_Presencial;DPU_Remoto;Tem_DPU;Indice_Vulnerabilidade;Vulnerabilidade_Rank
2304400;734361280;2304400;CEARÁ;NORDESTE;Fortaleza;581535;1220536;50,30%;0.276;0.348;0.068;0.04;0.629;0.445;0.124;0.754;74.41;FORTALEZA_CEARA;FORTALEZA;SIM;True;True;True;True;SIM;Média-Baixa;2
3509502;729467750;3509502;SÃO PAULO;SUDESTE;Campinas;140490;318494;28,00%;0.266;0.404;0.063;0.04;0.577;0.398;0.116;0.805;76.59;CAMPINAS_SAO PAULO;CAMPINAS;SIM;True;True;True;True;SIM;Baixa;1
3303302;663457300;3303302;RIO DE JANEIRO;SUDESTE;Niterói;82464;161026;33,40%;0.289;0.317;0.062;0.042;0.631;0.515;0.167;0.837;76.23;NITEROI_RIO DE JANEIRO;NITEROI;SIM;True;True;True;True;SIM;Média-Alta;3
2927408;629544870;2927408;BAHIA;NORDESTE;Salvador;588278;1142972;47,30%;0.255;0.311;0.055;0.041;0.588;0.413;0.122;0.759;75.1;SALVADOR_BAHIA;SALVADOR;SIM;True;True;True;True;SIM;Baixa;1
5208707;598659900;5208707;GOIÁS;CENTRO-OESTE;Goiânia;211931;465138;32,40%;0.26;0.408;0.098;0.045;0.565;0.332;0.111;0.799;75.28;GOIANIA_GOIAS;GOIANIA;SIM;True;True;True;True;SIM;Baixa;1
3548708;582770140;3548708;SÃO PAULO;SUDESTE;São Bernardo do Campo;92760;203425;25,10%;0.259;0.382;0.049;0.048;0.573;0.398;0.104;0.805;76.65;SAO BERNARDO DO CAMPO_SAO PAULO;SAO BERNARDO DO CAMPO;SIM;True;True;True;True;SIM;Baixa;1
3505708;580276670;3505708;SÃO PAULO;SUDESTE;Barueri;45917;111296;35,20%;0.258;0.398;0.086;0.051;0.556;0.369;0.087;0.786;76.96;BARUERI_SAO PAULO;BARUERI;NAO;False;False;False;False;NAO;Baixa;1
3525904;576708930;3525904;SÃO PAULO;SUDESTE;Jundiaí;17429;42004;9,50%;0.282;0.465;0.085;0.05;0.598;0.399;0.094;0.822;76.94;JUNDIAI_SAO PAULO;JUNDIAI;NAO;False;False;False;False;NAO;Média-Alta;3
2611606;549703050;2611606;PERNAMBUCO;NORDESTE;Recife;296672;617975;41,50%;0.263;0.355;0.078;0.034;0.602;0.364;0.146;0.772;74.5;RECIFE_PERNAMBUCO;RECIFE;SIM;True;True;True;True;SIM;Baixa;1
3301702;531366660;3301702;RIO DE JANEIRO;SUDESTE;Duque de Caxias;211828;436254;54,00%;0.288;0.348;0.09;0.05;0.617;0.474;0.146;0.711;75.0;DUQUE DE CAXIAS_RIO DE JANEIRO;DUQUE DE CAXIAS;SIM;True;True;True;True;SIM;Média-Alta;3
3536505;523894370;3536505;SÃO PAULO;SUDESTE;Paulínia;8886;21826;19,70%;0.279;0.406;0.056;0.069;0.608;0.405;0.128;0.795;76.83;PAULINIA_SAO PAULO;CAMPINAS;SIM;True;True;True;True;SIM;Média-Baixa;2
1505536;497630400;1505536;PARÁ;NORTE;Parauapebas;53469;132083;49,30%;0.285;0.419;0.122;0.059;0.602;0.311;0.199;0.715;73.55;PARAUAPEBAS_PARA;MARABA;SIM;True;True;True;True;SIM;Média-Alta;3
4208203;477548020;4208203;SANTA CATARINA;SUL;Itajaí;23640;57032;21,60%;0.281;0.452;0.076;0.046;0.578;0.38;0.152;0.795;78.02;ITAJAI_SANTA CATARINA;ITAJAI;NAO;False;False;False;False;NAO;Média-Alta;3
3549904;452088080;3549904;SÃO PAULO;SUDESTE;São José dos Campos;103055;230265;33,00%;0.261;0.371;0.059;0.04;0.586;0.418;0.091;0.807;76.27;SAO JOSE DOS CAMPOS_SAO PAULO;SAO JOSE DOS CAMPOS;NAO;False;False;False;False;NAO;Baixa;1
4209102;450698640;4209102;SANTA CATARINA;SUL;Joinville;43797;110485;17,90%;0.271;0.462;0.103;0.054;0.57;0.308;0.127;0.809;78.34;JOINVILLE_SANTA CATARINA;JOINVILLE;SIM;True;True;True;True;SIM;Média-Baixa;2
3552205;445333980;3552205;SÃO PAULO;SUDESTE;Sorocaba;78728;181405;25,10%;0.27;0.412;0.082;0.049;0.584;0.399;0.093;0.798;75.59;SOROCABA_SAO PAULO;SOROCABA;SIM;True;True;True;True;SIM;Média-Baixa;2
3170206;431292850;3170206;MINAS GERAIS;SUDESTE;Uberlândia;98485;220015;30,80%;0.269;0.434;0.082;0.046;0.584;0.325;0.143;0.789;78.09;UBERLANDIA_MINAS GERAIS;UBERLANDIA;SIM;True;True;True;True;SIM;Média-Baixa;2
3305505;421782080;3305505;RIO DE JANEIRO;SUDESTE;Saquarema;32014;65988;73,70%;0.278;0.332;0.045;0.06;0.62;0.428;0.184;0.709;73.26;SAQUAREMA_RIO DE JANEIRO;SAO PEDRO DA ALDEIA;NAO;False;False;False;False;NAO;Média-Baixa;2
3543402;399555720;3543402;SÃO PAULO;SUDESTE;Ribeirão Preto;63753;143781;20,60%;0.279;0.441;0.068;0.054;0.604;0.41;0.098;0.008;75.65;RIBEIRAO PRETO_SAO PAULO;RIBEIRAO PRETO;SIM;True;True;True;True;SIM;Média-Baixa;2
3205002;372794060;3205002;ESPÍRITO SANTO;SUDESTE;Serra;101401;236926;45,50%;0.266;0.423;0.093;0.044;0.592;0.363;0.085;0.739;75.66;SERRA_ESPIRITO SANTO;SERRA;NAO;False;False;False;False;NAO;Baixa;1
3301009;371798600;3301009;RIO DE JANEIRO;SUDESTE;Campos dos Goytacazes;93383;211734;43,80%;0.285;0.366;0.073;0.058;0.667;0.446;0.1;0.716;74.82;CAMPOS DOS GOYTACAZES_RIO DE JANEIRO;CAMPOS DOS GOYTACAZES;NAO;False;False;False;False;NAO;Média-Alta;3
2111300;365352260;2111300;MARANHÃO;NORDESTE;São Luís;232519;512908;49,40%;0.254;0.33;0.07;0.043;0.563;0.405;0.112;0.768;73.76;SAO LUIS_MARANHAO;SAO LUIS;SIM;True;True;True;True;SIM;Baixa;1
3118601;364797650;3118601;MINAS GERAIS;SUDESTE;Contagem;103130;222002;35,70%;0.264;0.368;0.077;0.035;0.598;0.413;0.096;0.756;74.94;CONTAGEM_MINAS GERAIS;BELO HORIZONTE;SIM;True;True;True;True;SIM;Baixa;1
1502152;349896100;1502152;PARÁ;NORTE;Canaã dos Carajás;22100;54337;70,50%;0.301;0.417;0.135;0.068;0.611;0.391;0.184;0.673;73.06;CANAA DOS CARAJAS_PARA;MARABA;SIM;True;True;True;True;SIM;Alta;4
5002704;347311510;5002704;MATO GROSSO DO SUL;CENTRO-OESTE;Campo Grande;177230;392843;43,70%;0.271;0.412;0.089;0.054;0.591;0.365;0.113;0.784;75.62;CAMPO GRANDE_MATO GROSSO DO SUL;CAMPO GRANDE;SIM;True;True;True;True;SIM;Média-Baixa;2
3538709;345557240;3538709;SÃO PAULO;SUDESTE;Piracicaba;36528;88419;20,90%;0.272;0.444;0.065;0.066;0.592;0.351;0.113;0.785;75.88;PIRACICABA_SAO PAULO;PIRACICABA;NAO;False;False;False;False;NAO;Média-Baixa;2
2905701;339717050;2905701;BAHIA;NORDESTE;Camaçari;80553;169790;56,50%;0.268;0.328;0.068;0.049;0.598;0.431;0.137;0.694;72.9;CAMACARI_BAHIA;SALVADOR;SIM;False;True;False;True;SIM;Média-Baixa;2
1501402;334671260;1501402;PARÁ;NORTE;Belém;339161;673931;51,70%;0.269;0.318;0.073;0.039;0.587;0.451;0.148;0.746;74.33;BELEM_PARA;PARA;SIM;True;True;True;True;SIM;Média-Baixa;2
3106705;331329190;3106705;MINAS GERAIS;SUDESTE;Betim;80308;188874;45,90%;0.246;0.386;0.077;0.047;0.564;0.319;0.084;0.749;76.82;BETIM_MINAS GERAIS;BELO HORIZONTE;SIM;True;True;True;True;SIM;Baixa;1
3547809;326202950;3547809;SÃO PAULO;SUDESTE;Santo André;84732;185788;24,80%;0.271;0.362;0.052;0.052;0.603;0.454;0.105;0.815;76.66;SANTO ANDRE_SAO PAULO;SANTO ANDRE;SIM;True;True;True;True;SIM;Média-Baixa;2
4305108;316884600;4305108;RIO GRANDE DO SUL;SUL;Caxias do Sul;30276;74339;16,00%;0.267;0.456;0.095;0.048;0.579;0.297;0.128;0.782;76.58;CAXIAS DO SUL_RIO GRANDE DO SUL;CARAZINHO;NAO;False;False;False;False;NAO;Baixa;1
3205309;314235730;3205309;ESPÍRITO SANTO;SUDESTE;Vitória;46560;102841;31,90%;0.268;0.386;0.055;0.044;0.604;0.404;0.115;0.845;76.28;VITORIA_ESPIRITO SANTO;VITORIA;SIM;True;True;True;True;SIM;Média-Baixa;2
5103403;297469340;5103403;MATO GROSSO;CENTRO-OESTE;Cuiabá;117962;269528;41,40%;0.265;0.425;0.096;0.047;0.563;0.346;0.112;0.785;75.01;CUIABA_MATO GROSSO;MATO GROSSO;SIM;True;True;True;True;SIM;Baixa;1
2704302;274840160;2704302;ALAGOAS;NORDESTE;Maceió;224659;462137;48,20%;0.285;0.358;0.101;0.042;0.63;0.407;0.17;0.721;72.94;MACEIO_ALAGOAS;MACEIO;SIM;True;True;True;True;SIM;Média-Alta;3
4125506;270096580;4125506;PARANÁ;SUL;São José dos Pinhais;48295;115574;35,10%;0.269;0.425;0.1;0.05;0.581;0.336;0.122;0.758;76.53;SAO JOSE DOS PINHAIS_PARANA;CURITIBA;SIM;True;True;True;True;SIM;Média-Baixa;2
4101804;252673820;4101804;PARANÁ;SUL;Araucária;23202;58427;38,50%;0.27;0.435;0.085;0.034;0.583;0.326;0.159;0.074;76.11;ARAUCARIA_PARANA;CURITIBA;SIM;True;True;True;True;SIM;Média-Baixa;2
2408102;241862620;2408102;RIO GRANDE DO NORTE;NORDESTE;Natal;138395;290698;38,70%;0.29;0.358;0.068;0.048;0.655;0.451;0.158;0.763;75.08;NATAL_RIO GRANDE DO NORTE;NATAL;SIM;True;True;True;True;SIM;Média-Alta;3
3548500;240901730;3548500;SÃO PAULO;SUDESTE;Santos;34082;72900;17,40%;0.299;0.374;0.049;0.037;0.624;0.464;0.244;0.084;76.13;SANTOS_SAO PAULO;SANTOS;SIM;True;True;True;True;SIM;Alta;4
2211001;238952310;2211001;PIAUÍ;NORDESTE;Teresina;169167;391219;45,20%;0.262;0.352;0.07;0.037;0.615;0.429;0.067;0.751;74.22;TERESINA_PIAUI;CORRENTE;SIM;True;True;True;True;SIM;Baixa;1
4113700;236047490;4113700;PARANÁ;SUL;Londrina;71940;162665;29,30%;0.276;0.416;0.081;0.044;0.614;0.386;0.114;0.778;75.19;LONDRINA_PARANA;LONDRINA;SIM;True;True;True;True;SIM;Média-Baixa;2
4205407;235550340;4205407;SANTA CATARINA;SUL;Florianópolis;54103;118864;22,10%;0.268;0.382;0.061;0.046;0.562;0.339;0.216;0.847;77.35;FLORIANOPOLIS_SANTA CATARINA;FLORIANOPOLIS;SIM;True;True;True;True;SIM;Média-Baixa;2
3520509;228171170;3520509;SÃO PAULO;SUDESTE;Indaiatuba;18328;44361;17,30%;0.252;0.443;0.07;0.05;0.573;0.26;0.117;0.788;75.22;INDAIATUBA_SAO PAULO;CAMPINAS;SIM;True;True;True;True;SIM;Baixa;1
3509205;227131600;3509205;SÃO PAULO;SUDESTE;Cajamar;15568;38036;41,00%;0.276;0.409;0.074;0.056;0.573;0.428;0.115;0.728;73.59;CAJAMAR_SAO PAULO;JUNDIAI;NAO;False;False;False;False;NAO;Média-Baixa;2
4115200;226567330;4115200;PARANÁ;SUL;Maringá;48772;110583;27,00%;0.265;0.39;0.061;0.045;0.589;0.378;0.127;0.808;76.1;MARINGA_PARANA;MARINGA;NAO;False;False;False;False;NAO;Baixa;1
2507507;222442840;2507507;PARAÍBA;NORDESTE;João Pessoa;158990;355530;42,60%;0.283;0.359;0.092;0.049;0.625;0.417;0.158;0.763;74.89;JOAO PESSOA_PARAIBA;JOAO PESSOA;SIM;True;True;True;True;SIM;Média-Alta;3
4304606;219953620;4304606;RIO GRANDE DO SUL;SUL;Canoas;80466;159403;45,90%;0.268;0.363;0.078;0.053;0.604;0.44;0.072;0.075;76.83;CANOAS_RIO GRANDE DO SUL;CARAZINHO;SIM;True;True;True;True;SIM;Média-Baixa;2
3513504;219464720;3513504;SÃO PAULO;SUDESTE;Cubatão;19473;43063;38,30%;0.29;0.391;0.07;0.038;0.607;0.452;0.181;0.737;74.23;CUBATAO_SAO PAULO;SANTOS;SIM;True;True;True;True;SIM;Média-Alta;3
3144805;210426460;3144805;MINAS GERAIS;SUDESTE;Nova Lima;11750;28864;25,80%;0.255;0.395;0.073;0.048;0.587;0.323;0.106;0.813;78.1;NOVA LIMA_MINAS GERAIS;BELO HORIZONTE;SIM;True;True;True;True;SIM;Baixa;1
3549805;209626170;3549805;SÃO PAULO;SUDESTE;São José do Rio Preto;50139;108656;22,60%;0.271;0.413;0.061;0.045;0.602;0.416;0.088;0.797;75.74;SAO JOSE DO RIO PRETO_SAO PAULO;RIO PRETO;NAO;False;False;False;False;NAO;Média-Baixa;2
3529401;207762130;3529401;SÃO PAULO;SUDESTE;Mauá;41117;97505;23,30%;0.262;0.415;0.076;0.036;0.574;0.379;0.089;0.766;76.13;MAUA_SAO PAULO;MAUA;NAO;False;False;False;False;NAO;Baixa;1
4202404;205764400;4202404;SANTA CATARINA;SUL;Blumenau;21085;54006;14,90%;0.274;0.473;0.081;0.041;0.583;0.318;0.148;0.806;78.64;BLUMENAU_SANTA CATARINA;BLUMENAU;NAO;False;False;False;False;NAO;Média-Baixa;2
3170107;203975190;3170107;MINAS GERAIS;SUDESTE;Uberaba;40680;90535;26,80%;0.275;0.451;0.084;0.048;0.616;0.397;0.056;0.772;75.71;UBERABA_MINAS GERAIS;UBERABA;NAO;False;False;False;False;NAO;Média-Baixa;2
3304904;203248830;3304904;RIO DE JANEIRO;SUDESTE;São Gonçalo;168760;339169;37,80%;0.286;0.338;0.081;0.043;0.616;0.493;0.142;0.739;74.96;SAO GONCALO_RIO DE JANEIRO;SAO GONCALO;SIM;True;True;True;True;SIM;Média-Alta;3
3136702;202975590;3136702;MINAS GERAIS;SUDESTE;Juiz de Fora;69295;155163;28,70%;0.265;0.405;0.088;0.055;0.596;0.366;0.081;0.778;75.65;JUIZ DE FORA_MINAS GERAIS;JUIZ DE FORA;SIM;True;True;True;True;SIM;Baixa;1
1100205;200595220;1100205;RONDÔNIA;NORTE;Porto Velho;118658;262369;57,00%;0.34;0.376;0.107;0.045;0.641;0.375;0.496;0.736;74.14;PORTO VELHO_RONDONIA;PORTO VELHO;SIM;True;True;True;True;SIM;Alta;4
3527306;196771510;3527306;SÃO PAULO;SUDESTE;Louveira;3374;9011;17,40%;0.27;0.431;0.074;0.05;0.59;0.344;0.128;0.777;76.65;LOUVEIRA_SAO PAULO;JUNDIAI;NAO;False;False;False;False;NAO;Média-Baixa;2
3306305;196712810;3306305;RIO DE JANEIRO;SUDESTE;Volta Redonda;47088;99270;38,00%;0.268;0.362;0.059;0.053;0.625;0.422;0.088;0.771;74.98;VOLTA REDONDA_RIO DE JANEIRO;VOLTA REDONDA;SIM;True;True;True;True;SIM;Média-Baixa;2
3530607;196045170;3530607;SÃO PAULO;SUDESTE;Mogi das Cruzes;66607;150880;33,40%;0.277;0.388;0.066;0.05;0.61;0.439;0.11;0.783;76.07;MOGI DAS CRUZES_SAO PAULO;MOGI DAS CRUZES;SIM;True;True;True;True;SIM;Média-Baixa;2
4119905;194908530;4119905;PARANÁ;SUL;Ponta Grossa;52444;124854;34,80%;0.268;0.429;0.104;0.042;0.615;0.329;0.092;0.763;75.22;PONTA GROSSA_PARANA;PONTA GROSSA;NAO;False;False;False;False;NAO;Média-Baixa;2
4108304;189697650;4108304;PARANÁ;SUL;Foz do Iguaçu;57183;127729;44,80%;0.287;0.4;0.086;0.051;0.628;0.39;0.165;0.751;76.46;FOZ DO IGUACU_PARANA;FOZ DO IGUACU;SIM;True;True;True;True;SIM;Média-Alta;3
3513801;184843560;3513801;SÃO PAULO;SUDESTE;Diadema;59127;128731;32,70%;0.263;0.4;0.055;0.05;0.582;0.4;0.089;0.757;75.65;DIADEMA_SAO PAULO;SAO BERNARDO DO CAMPO;SIM;True;True;True;True;SIM;Baixa;1
2800308;184056780;2800308;SERGIPE;NORDESTE;Aracaju;119955;248059;41,20%;0.259;0.334;0.082;0.033;0.614;0.393;0.099;0.077;74.36;ARACAJU_SERGIPE;ARACAJU;SIM;True;True;True;True;SIM;Baixa;1
3519071;183778220;3519071;SÃO PAULO;SUDESTE;Hortolândia;30408;72518;30,60%;0.262;0.404;0.071;0.054;0.582;0.379;0.08;0.756;76.51;HORTOLANDIA_SAO PAULO;CAMPINAS;SIM;True;True;True;True;SIM;Baixa;1
3303500;177945930;3303500;RIO DE JANEIRO;SUDESTE;Nova Iguaçu;235183;457687;58,20%;0.294;0.309;0.082;0.036;0.645;0.519;0.17;0.713;74.08;NOVA IGUACU_RIO DE JANEIRO;NOVA IGUACU;SIM;True;True;True;True;SIM;Média-Alta;3
5201108;177882890;5201108;GOIÁS;CENTRO-OESTE;Anápolis;62856;150926;37,80%;0.244;0.45;0.136;0.055;0.559;0.168;0.097;0.737;74.33;ANAPOLIS_GOIAS;ANAPOLIS;NAO;False;False;False;False;NAO;Baixa;1
3302403;177470160;3302403;RIO DE JANEIRO;SUDESTE;Macaé;44534;96721;39,30%;0.283;0.374;0.068;0.058;0.632;0.436;0.128;0.764;74.66;MACAE_RIO DE JANEIRO;MACAE;NAO;False;False;False;False;NAO;Média-Alta;3
3131307;176091770;3131307;MINAS GERAIS;SUDESTE;Ipatinga;35941;82340;36,20%;0.267;0.39;0.08;0.051;0.618;0.369;0.096;0.771;76.85;IPATINGA_MINAS GERAIS;IPATINGA;NAO;False;False;False;False;NAO;Baixa;1
5107602;172956440;5107602;MATO GROSSO;CENTRO-OESTE;Rondonópolis;49696;111273;45,40%;0.251;0.444;0.099;0.057;0.576;0.251;0.076;0.755;74.37;RONDONOPOLIS_MATO GROSSO;RONDONOPOLIS;SIM;False;True;False;True;SIM;Baixa;1
2910800;172821980;2910800;BAHIA;NORDESTE;Feira de Santana;165766;354819;57,60%;0.268;0.325;0.074;0.056;0.618;0.38;0.155;0.712;74.2;FEIRA DE SANTANA_BAHIA;FEIRA DE SANTANA;SIM;True;True;True;True;SIM;Média-Baixa;2
5201405;169799840;5201405;GOIÁS;CENTRO-OESTE;Aparecida de Goiânia;79031;184935;35,00%;0.267;0.459;0.153;0.05;0.569;0.243;0.126;0.718;75.01;APARECIDA DE GOIANIA_GOIAS;APARECIDA DE GOIANIA;SIM;True;True;True;True;SIM;Baixa;1
3506003;167213680;3506003;SÃO PAULO;SUDESTE;Bauru;44557;103820;27,40%;0.267;0.434;0.078;0.056;0.577;0.34;0.115;0.801;76.26;BAURU_SAO PAULO;BAURU;NAO;False;False;False;False;NAO;Baixa;1
5218805;163062710;5218805;GOIÁS;CENTRO-OESTE;Rio Verde;36568;85524;37,90%;0.27;0.432;0.096;0.045;0.565;0.32;0.16;0.754;76.17;RIO VERDE_GOIAS;RIO VERDE;NAO;False;False;False;False;NAO;Média-Baixa;2
3205200;163058420;3205200;ESPÍRITO SANTO;SUDESTE;Vila Velha;69101;153814;32,90%;0.268;0.412;0.085;0.043;0.593;0.38;0.095;0.008;76.84;VILA VELHA_ESPIRITO SANTO;VITORIA;SIM;True;True;True;True;SIM;Média-Baixa;2
3554102;161999860;3554102;SÃO PAULO;SUDESTE;Taubaté;32305;77912;25,10%;0.265;0.419;0.072;0.033;0.589;0.398;0.079;0.008;77.98;TAUBATE_SAO PAULO;TAUBATE;NAO;False;False;False;False;NAO;Baixa;1
3552403;161798920;3552403;SÃO PAULO;SUDESTE;Sumaré;31679;74469;26,60%;0.271;0.428;0.07;0.035;0.598;0.402;0.092;0.762;75.71;SUMARE_SAO PAULO;CAMPINAS;SIM;True;True;True;True;SIM;Média-Baixa;2
2607901;161335560;2607901;PERNAMBUCO;NORDESTE;Jaboatão dos Guararapes;179648;355751;55,20%;0.278;0.341;0.08;0.046;0.606;0.428;0.168;0.717;74.82;JABOATAO DOS GUARARAPES_PERNAMBUCO;RECIFE;SIM;True;True;True;True;SIM;Média-Baixa;2
3513009;161141650;3513009;SÃO PAULO;SUDESTE;Cotia;33652;80185;29,20%;0.27;0.428;0.084;0.046;0.575;0.381;0.106;0.078;76.05;COTIA_SAO PAULO;OSASCO;SIM;True;True;True;True;SIM;Média-Baixa;2
3524402;160944350;3524402;SÃO PAULO;SUDESTE;Jacareí;25528;60837;25,30%;0.248;0.409;0.069;0.042;0.56;0.32;0.087;0.777;75.2;JACAREI_SAO PAULO;SAO JOSE DOS CAMPOS;NAO;False;False;False;False;NAO;Baixa;1
3526902;160607390;3526902;SÃO PAULO;SUDESTE;Limeira;33599;77786;26,70%;0.278;0.411;0.056;0.048;0.612;0.439;0.103;0.775;76.11;LIMEIRA_SAO PAULO;LIMEIRA;NAO;False;False;False;False;NAO;Média-Baixa;2
3550704;160086450;3550704;SÃO PAULO;SUDESTE;São Sebastião;15549;34298;42,00%;0.288;0.375;0.055;0.05;0.607;0.452;0.19;0.772;77.51;SAO SEBASTIAO_SAO PAULO;CARAGUATATUBA;NAO;False;False;False;False;NAO;Média-Alta;3
4104808;157875280;4104808;PARANÁ;SUL;Cascavel;51308;115992;33,30%;0.26;0.452;0.109;0.037;0.574;0.278;0.112;0.782;75.74;CASCAVEL_PARANA;CASCAVEL;SIM;True;True;True;True;SIM;Baixa;1
3303906;156654480;3303906;RIO DE JANEIRO;SUDESTE;Petrópolis;53242;116036;41,60%;0.293;0.372;0.066;0.05;0.648;0.465;0.156;0.745;75.79;PETROPOLIS_RIO DE JANEIRO;PETROPOLIS;NAO;False;False;False;False;NAO;Média-Alta;3
3548807;155667680;3548807;SÃO PAULO;SUDESTE;São Caetano do Sul;8670;20213;12,20%;0.245;0.379;0.037;0.054;0.553;0.333;0.112;0.862;78.2;SAO CAETANO DO SUL_SAO PAULO;SANTO ANDRE;SIM;True;True;True;True;SIM;Baixa;1
3501608;152172800;3501608;SÃO PAULO;SUDESTE;Americana;16394;38766;16,30%;0.267;0.441;0.078;0.024;0.586;0.358;0.113;0.811;77.55;AMERICANA_SAO PAULO;AMERICANAS;NAO;False;False;False;False;NAO;Baixa;1
3131703;149719290;3131703;MINAS GERAIS;SUDESTE;Itabira;13163;34143;30,10%;0.252;0.416;0.085;0.047;0.587;0.299;0.075;0.756;77.37;ITABIRA_MINAS GERAIS;BELO HORIZONTE;SIM;True;True;True;True;SIM;Baixa;1
2607208;149293460;2607208;PERNAMBUCO;NORDESTE;Ipojuca;37125;75938;76,80%;0.281;0.333;0.073;0.053;0.633;0.425;0.167;0.619;71.44;IPOJUCA_PERNAMBUCO;CABO DE SANTO AGOSTINHO;NAO;False;False;False;False;NAO;Média-Alta;3
3552502;148115140;3552502;SÃO PAULO;SUDESTE;Suzano;55508;130739;42,50%;0.26;0.409;0.074;0.042;0.561;0.381;0.093;0.765;77.36;SUZANO_SAO PAULO;MOGI DAS CRUZES;SIM;True;True;True;True;SIM;Baixa;1
3515004;143147540;3515004;SÃO PAULO;SUDESTE;Embu das Artes;59635;127277;50,80%;0.277;0.378;0.074;0.048;0.579;0.453;0.126;0.735;75.33;EMBU DAS ARTES_SAO PAULO;OSASCO;SIM;True;True;True;True;SIM;Média-Baixa;2
3548906;141418540;3548906;SÃO PAULO;SUDESTE;São Carlos;26811;59885;23,50%;0.279;0.399;0.066;0.053;0.584;0.439;0.135;0.805;76.78;SAO CARLOS_SAO PAULO;SAO CARLOS;NAO;False;False;False;False;NAO;Média-Baixa;2
3524709;139813020;3524709;SÃO PAULO;SUDESTE;Jaguariúna;3926;9519;16,00%;0.263;0.429;0.082;0.033;0.586;0.339;0.109;0.784;76.74;JAGUARIUNA_SAO PAULO;CAMPINAS;SIM;True;True;True;True;SIM;Baixa;1
3520400;139566180;3520400;SÃO PAULO;SUDESTE;Ilhabela;6052;13784;39,50%;0.276;0.405;0.058;0.041;0.602;0.39;0.159;0.756;75.56;ILHABELA_SAO PAULO;CARAGUATATUBA;NAO;False;False;False;False;NAO;Média-Baixa;2
4216602;138381930;4216602;SANTA CATARINA;SUL;São José;19724;48976;18,10%;0.28;0.462;0.099;0.045;0.585;0.358;0.13;0.809;77.81;SAO JOSE_SANTA CATARINA;FLORIANOPOLIS;SIM;True;True;True;True;SIM;Média-Baixa;2
